id,name,url
466,Preston North End,https://www.transfermarkt.com/preston-north-end/startseite/verein/466
472,UD Las Palmas,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472
506,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506
512,Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512
533,TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533
543,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
583,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583
595,SC Bastia,https://www.transfermarkt.com/sc-bastia/startseite/verein/595
607,Venezia FC,https://www.transfermarkt.com/venezia-fc/startseite/verein/607
618,AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618
621,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
630,Racing Santander,https://www.transfermarkt.com/racing-santander/startseite/verein/630
631,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631
641,Middlesbrough FC,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641
667,RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667
677,Ipswich Town,https://www.transfermarkt.com/ipswich-town/startseite/verein/677
681,Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681
698,Bristol City,https://www.transfermarkt.com/bristol-city/startseite/verein/698
703,Nottingham Forest,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703
714,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714
738,Le Havre AC,https://www.transfermarkt.com/ac-le-havre/startseite/verein/738
749,FC Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749
762,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762
800,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800
826,RC Lens,https://www.transfermarkt.com/rc-lens/startseite/verein/826
855,EA Guingamp,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855
873,Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873
897,Deportivo de La Coruña,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897
931,Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931
940,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940
969,Montpellier HSC,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969
984,West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984
985,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985
988,Oxford United,https://www.transfermarkt.com/oxford-united/startseite/verein/988
989,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989
990,Coventry City,https://www.transfermarkt.com/coventry-city/startseite/verein/990
993,Córdoba CF,https://www.transfermarkt.com/fc-cordoba/startseite/verein/993
995,FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995
1003,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003
1005,US Lecce,https://www.transfermarkt.com/us-lecce/startseite/verein/1005
1010,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010
1020,Portsmouth FC,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020
1025,Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025
1028,Millwall FC,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028
1035,Sheffield Wednesday,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035
1038,UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038
1039,Queens Park Rangers,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039
1041,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041
1047,Como 1907,https://www.transfermarkt.com/como-1907/startseite/verein/1047
1049,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049
1050,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050
1080,Stade Lavallois,https://www.transfermarkt.com/stade-laval/startseite/verein/1080
1082,LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082
1084,Málaga CF,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084
1095,ESTAC Troyes,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095
1108,Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108
1112,Wrexham AFC,https://www.transfermarkt.com/afc-wrexham/startseite/verein/1112
1123,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123
1132,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132
1148,Brentford FC,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148
1154,Red Star FC,https://www.transfermarkt.com/red-star-fc/startseite/verein/1154
1158,FC Lorient,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158
1159,AS Nancy-Lorraine,https://www.transfermarkt.com/as-nancy-lorraine/startseite/verein/1159
1164,Le Mans FC,https://www.transfermarkt.com/le-mans-fc/startseite/verein/1164
1237,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237
1244,CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244
1290,Grenoble Foot 38,https://www.transfermarkt.com/grenoble-foot-38/startseite/verein/1290
1385,Modena FC,https://www.transfermarkt.com/modena-fc-2018/startseite/verein/1385
1390,Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390
1416,Amiens SC,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416
1420,Angers SCO,https://www.transfermarkt.com/sco-angers/startseite/verein/1420
1421,Stade Reims,https://www.transfermarkt.com/stade-reims/startseite/verein/1421
1429,Cesena FC,https://www.transfermarkt.com/cesena-fc/startseite/verein/1429
1531,Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531
1532,Albacete Balompié,https://www.transfermarkt.com/albacete-balompie/startseite/verein/1532
1533,SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533
1536,Burgos CF,https://www.transfermarkt.com/burgos-cf/startseite/verein/1536
2036,1.FC Heidenheim 1846,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036
2239,US Cremonese,https://www.transfermarkt.com/us-cremonese/startseite/verein/2239
2288,Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288
2331,US Avellino 1912,https://www.transfermarkt.com/us-avellino-1912/startseite/verein/2331
2448,Sporting Gijón,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448
2497,Real Oviedo,https://www.transfermarkt.com/real-oviedo/startseite/verein/2497
2502,CD Castellón,https://www.transfermarkt.com/cd-castellon/startseite/verein/2502
2581,Mantova 1911,https://www.transfermarkt.com/mantova-1911/startseite/verein/2581
2687,Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687
2919,AC Monza,https://www.transfermarkt.com/ac-monza/startseite/verein/2919
2921,Delfino Pescara 1936,https://www.transfermarkt.com/delfino-pescara-1936/startseite/verein/2921
3008,Hull City,https://www.transfermarkt.com/hull-city/startseite/verein/3008
3037,Calcio Padova,https://www.transfermarkt.com/calcio-padova/startseite/verein/3037
3166,Pau FC,https://www.transfermarkt.com/pau-fc/startseite/verein/3166
3302,UD Almería,https://www.transfermarkt.com/ud-almeria/startseite/verein/3302
3368,Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368
3522,Spezia Calcio,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522
3524,Clermont Foot 63,https://www.transfermarkt.com/clermont-foot-63/startseite/verein/3524
3709,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709
3911,Stade Brestois 29,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911
4097,US Catanzaro,https://www.transfermarkt.com/us-catanzaro/startseite/verein/4097
4159,Carrarese Calcio 1908,https://www.transfermarkt.com/carrarese-calcio-1908/startseite/verein/4159
4172,Pisa Sporting Club,https://www.transfermarkt.com/ac-pisa-1909/startseite/verein/4172
4542,Cultural Leonesa,https://www.transfermarkt.com/cultural-leonesa/startseite/verein/4542
4554,FC Südtirol,https://www.transfermarkt.com/fc-sudtirol/startseite/verein/4554
5358,SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358
5587,SS Juve Stabia,https://www.transfermarkt.com/ss-juve-stabia/startseite/verein/5587
5621,AC Reggiana 1919,https://www.transfermarkt.com/ac-reggiana-1919/startseite/verein/5621
6195,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195
6574,US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574
7042,US Boulogne,https://www.transfermarkt.com/us-boulogne/startseite/verein/7042
8568,AD Ceuta FC,https://www.transfermarkt.com/ad-ceuta/startseite/verein/8568
8970,Frosinone Calcio,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970
9202,USL Dunkerque,https://www.transfermarkt.com/usl-dunkerque/startseite/verein/9202
9899,Real Sociedad B,https://www.transfermarkt.com/real-sociedad-b/startseite/verein/9899
10004,Paris FC,https://www.transfermarkt.com/paris-fc/startseite/verein/10004
10718,FC Andorra,https://www.transfermarkt.com/fc-andorra/startseite/verein/10718
11273,Rodez AF,https://www.transfermarkt.com/rodez-af/startseite/verein/11273
12321,Girona FC,https://www.transfermarkt.com/fc-girona/startseite/verein/12321
13222,CD Mirandés,https://www.transfermarkt.com/cd-mirandes/startseite/verein/13222
16795,Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795
20519,Virtus Entella,https://www.transfermarkt.com/virtus-entella/startseite/verein/20519
23826,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826
30204,FC Annecy,https://www.transfermarkt.com/fc-annecy/startseite/verein/30204
