name,url
Stade Lavallois,https://www.transfermarkt.com/stade-laval/startseite/verein/1080
Amiens SC,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416
FC Annecy,https://www.transfermarkt.com/fc-annecy/startseite/verein/30204
Red Star FC,https://www.transfermarkt.com/red-star-fc/startseite/verein/1154
AS Nancy-Lorraine,https://www.transfermarkt.com/as-nancy-lorraine/startseite/verein/1159
Le Mans FC,https://www.transfermarkt.com/le-mans-fc/startseite/verein/1164
US Boulogne,https://www.transfermarkt.com/us-boulogne/startseite/verein/7042
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398
Como 1907,https://www.transfermarkt.com/como-1907/startseite/verein/1047
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574
US Lecce,https://www.transfermarkt.com/us-lecce/startseite/verein/1005
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390
Pisa Sporting Club,https://www.transfermarkt.com/ac-pisa-1909/startseite/verein/4172
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276
US Cremonese,https://www.transfermarkt.com/us-cremonese/startseite/verein/2239
Venezia FC,https://www.transfermarkt.com/venezia-fc/startseite/verein/607
AC Monza,https://www.transfermarkt.com/ac-monza/startseite/verein/2919
Palermo FC,https://www.transfermarkt.com/palermo-fc/startseite/verein/458
